Package,Grape,Cola,Orange,Root Beer,Cherry
1,14,1,5,2,5
2,4,7,4,5,7
3,4,3,7,5,8
4,8,2,5,7,5
5,5,4,1,10,7
6,11,4,4,7,1
7,6,3,4,6,8
8,9,2,5,3,8
9,10,2,6,4,5
10,5,3,5,8,6
11,8,6,6,3,4
12,2,7,6,5,7
13,4,10,5,1,7
14,7,6,3,6,5
15,6,6,7,4,4
16,6,2,9,1,9
17,8,5,4,3,7
18,8,3,8,2,6
19,5,5,6,4,7
20,5,8,5,3,6
21,6,10,2,5,4
22,3,6,9,2,7
23,5,8,7,2,5
24,6,6,5,7,3
25,8,0,5,5,9
26,7,7,2,4,7
27,6,6,1,11,3
28,3,7,4,11,2
29,6,6,3,4,8
30,6,5,5,5,6
31,6,5,7,3,6
32,4,7,5,6,5
33,7,5,4,7,4
34,8,2,4,5,8